date,mempool_size_bytes,mempool_tx_count,miners_revenue_usd,cost_per_tx_usd,total_fees_usd,n_transactions,sopr,nupl,sth_sopr,realized_price,sopr_ma7,sopr_ma30,sopr_below_1,nupl_ma30,nupl_capitulation,nupl_euphoria,sth_sopr_ma7,sth_capitulation,mempool_ma7,mempool_congestion,miners_revenue_ma30,miners_revenue_ratio
2023-03-25,55257582.0,27884.5,25755315.778535493,88.75114414875237,30.59583649,290197.0,1.0016920117287629,0.2695666666666667,1.0254078928,19983.565566666668,1.0096896353346334,1.0001931404065985,0,0.1775288888888889,0,0,1.053306623714286,0,25038.166666666668,1.113679782199176,23015232.26536177,1.1190552188038347
2023-03-26,,,,,,,1.0077673749962424,0.2663333333333333,1.0442229432,19996.582733333333,1.009352838897491,1.0005281244646775,0,0.1816733333333333,0,0,1.0550192309714286,0,25038.166666666668,,23015232.26536177,
2023-03-27,,,,,,,1.0167182293014725,0.2631,1.1200728042,20009.5999,1.0101616310815589,1.0012659987697283,0,0.1854883333333333,0,0,1.065087780042857,0,25038.166666666668,,24005411.13840884,
2023-03-28,62222273.0,27741.0,,,,,1.003571184781689,0.2664,1.0326429738,20016.5983,1.0089856332006506,1.0013237723425252,0,0.1891916666666666,0,0,1.0599819747571428,0,27990.666666666668,0.99108036012004,24005411.13840884,
2023-03-29,,,26591193.533266988,79.46280158281058,27.534690559999987,334637.0,1.0102310925564546,0.2943,1.0250016112,20033.7757,1.0092177234346162,1.0015334410337495,0,0.1940516666666666,0,0,1.0556262759,0,27990.666666666668,,24328633.937766105,1.092999861861896
2023-03-30,71653551.0,15875.0,,,,,0.8833090628553376,0.296,1.0301752206,19727.3581,0.9898895897909424,0.9982597103661544,1,0.199195,0,0,1.0443735983714286,0,23833.5,0.6660792581870056,24328633.937766105,
2023-03-31,,,,,,,1.0119032084766642,0.3074,1.0546449341,19749.4618,0.9907417378138034,0.9988916019259776,0,0.204145,0,0,1.0474526257,0,23833.5,,24091478.416902423,
2023-04-01,68490890.5,17002.5,,,,,1.0072799125326817,0.3066,1.0418364465,19757.548,0.9915400093572204,0.9992306990639356,0,0.209235,0,0,1.049799561942857,0,20206.166666666668,0.8414510421735938,24091478.416902423,
2023-04-02,,,27387521.07343141,79.62483994636368,24.46719163000001,341622.0,1.0021437448741557,0.2983,1.0252031697,19759.9449,0.9907366336254936,0.9995712842919188,0,0.2154483333333333,0,0,1.0470824514428572,0,20206.166666666668,,24503483.748968545,1.1176990730791194
2023-04-03,,,,,,,1.004018173837302,0.2903,1.0280329989,19765.0841,0.988922339987755,0.9997281955950272,0,0.221415,0,0,1.0339339078285714,0,20206.166666666668,,24503483.748968545,
2023-04-04,66461466.0,36378.5,,,,,1.004018195491358,0.2967,1.041991451,19771.5077,0.9889861986605648,1.000435249289101,0,0.227465,0,0,1.0352694045714286,0,23085.33333333333,1.5758273651380386,24805505.061023746,
2023-04-05,,,,,,,1.0073826518247386,0.2950333333333333,1.0644097072,19776.6034,0.988579278556034,1.0008650942157682,0,0.2334594444444444,0,0,1.0408991325714283,0,23085.33333333333,,24805505.061023746,
2023-04-06,66739595.0,16774.5,29988656.93568959,80.6764777738041,32.91813282999998,354019.0,1.0042880217745866,0.2933666666666666,1.0496152596,19781.6991,1.0058619869730694,1.0029361377362016,0,0.2396116666666666,0,0,1.043676281,0,23385.166666666668,0.7173136817498271,25453399.04535697,1.178178870423198
2023-04-07,,,,,,,0.9958430397077056,0.2917,1.0091483313,19786.7948,1.0035676771489326,1.0029480625553302,1,0.2463483333333333,0,0,1.0371767663142857,0,23385.166666666668,,25453399.04535697,
2023-04-08,60770221.0,26354.0,,,,,1.0024025569119888,0.2923,1.0125271574,19788.995,1.002870912060262,1.003483507811919,0,0.255085,0,0,1.032989725014286,0,26502.33333333333,0.9944030085401286,26369676.245565776,
2023-04-09,,,,,,,1.002408978845276,0.3094666666666666,1.0109593617,19808.355633333333,1.0029088026275652,1.0041807000659853,0,0.2633684722222222,0,0,1.0309548953,0,26502.33333333333,,26369676.245565776,
2023-04-10,,,22540478.67849652,77.82642616658272,21.77457393999999,289625.0,1.008962868620083,0.3266333333333333,1.020744847,19827.716266666663,1.0036151875965338,1.0046496915996177,0,0.27119875,0,0,1.0299137307428572,0,26502.33333333333,,25891026.54968212,0.8705903813911645
2023-04-11,58290077.0,13871.0,,,,,1.024459407868207,0.3438,1.067076327,19847.0769,1.0065353607932266,1.0054673066734177,0,0.2785758333333333,0,0,1.0334972844571428,0,18999.83333333333,0.7300590356055755,25891026.54968212,
2023-04-12,,,,,,,1.003784385642998,0.3448666666666666,1.0491444287,19861.0427,1.0060213227672636,1.0049803848743035,0,0.2849630555555555,0,0,1.0313165303857144,0,18999.83333333333,,26291583.345243853,
2023-04-13,71211231.5,19820.5,,,,,1.0140688227946832,0.3459333333333333,1.0513387246,19875.0085,1.0074185800558488,1.0047677546639164,0,0.2903604166666667,0,0,1.0315627396714286,0,20015.166666666668,0.9902740421846764,26291583.345243853,
2023-04-14,,,27977114.940560613,88.36320117669919,27.739714300000003,315959.0,1.0129003352947483,0.347,1.0562885578,19888.9743,1.0098553365682836,1.0048683736991988,0,0.2947679166666666,0,0,1.0382970577428572,0,20015.166666666668,,26502274.79465845,1.0556495680966758
2023-04-15,,,,,,,1.0026940327614509,0.33924,1.0304244459,19895.35212,1.0098969759753496,1.0046269837778092,0,0.2978913333333333,0,0,1.040853813242857,0,16845.75,,26502274.79465845,
2023-04-16,70202860.5,3853.0,,,,,1.0041991301067434,0.33148,1.0287848046,19901.72994,1.0101527118698448,1.003767195711864,0,0.2997306666666667,0,0,1.0434003050857144,0,12514.833333333334,0.3078746554089147,26676763.68639591,
